,Borehole ID,Depth (m),Moisture Content (%),Bulk Density (kg/m3),Dry Density (kg/m3),Shear Strength (kPa) (Direct),SPT Value (blows/ft),Shear Strength (kPa) (Triaxial),Triaxial Test,Soil Condition During Triaxial Test,Particle Density (%),Liquid Limit (%),Plastic Limit (%),Porosity (%),Bearing Capacity (kPa),Unconfined Compressive Strength (MPa),Rock Quality Designation (%),Angle of Internal Friction (°),Grain Size,Soil Types,Soil Description,Latitude,Longitude,Borehole Start Date
0,B12,0.0,28.5,,,,,,,,2.69,28.0,6.0,,,,,,0.002,sand,Very soft dark grey sandy h depth.   (SURFACE SANDS - SEDIMENT LAYER) [UNIT I],-3.4723900168,53.9459097863,02/07/2010
1,B12,1.0,34.48,,,,,,,,,,,,,,,,0.002,sand,,-3.4723900168,53.9459097863,02/07/2010
2,B12,2.0,27.74,,,,,,,,,24.0,6.0,,,,,,0.002,sand,below 4.00 m - sandy locally very sandy.,-3.4723900168,53.9459097863,02/07/2010
3,B12,3.0,35.92,,,,,,,,,,,,,,,,,sand,,-3.4723900168,53.9459097863,02/07/2010
4,B12,4.0,22.95,,,,,,,,,,,,,,,,0.002,"clay, sand",Dark grey locally grey silty locally slightly clayey SAND /silty with depth. (WESTERN IRISH SEA PROGRADED SANDS - UPPER MEMBER) [UNIT IIa],-3.4723900168,53.9459097863,02/07/2010
5,B12,5.0,41.46,,,,,,,,,,,,,,,,,"clay, sand",between 5.00 m and 6.00 m - occasional shell fragments (<6mm).,-3.4723900168,53.9459097863,02/07/2010
6,B12,6.0,23.13,1936.8,1580.02,,,,,,,,,0.18,,,,,,"clay, sand",between 6.00 m and 8.30 m - rare shell fragments (<4mm).,-3.4723900168,53.9459097863,02/07/2010
7,B12,7.0,23.97,2018.35,1630.99,,,,,,,,,0.1899999999999999,,,,,,"clay, sand",from 7.27 m to 7.33 m - frequent shell fragments (<25mm).,-3.4723900168,53.9459097863,02/07/2010
8,B12,8.0,24.05,2028.54,1630.99,,,,,,,,,0.1999999999999999,,,,,,"clay, sand",,-3.4723900168,53.9459097863,02/07/2010
9,B12,9.0,22.62,2018.35,1651.38,,,,,,,,,0.18,,,,,,sand,from 9.00 m to 9.40  m - occasional thin laminae of dark grey/black silt/fine sand.,-3.4723900168,53.9459097863,02/07/2010
10,B12,10.0,22.24,1946.99,1590.21,,,,CD,Reconstituted,,,,0.18,,,,38.0,0.002,clay,from 10.00  m to 10.35  m - occasional very closely spaced thin laminae of grey clay.,-3.4723900168,53.9459097863,02/07/2010
11,B12,11.0,23.32,,,,,,,,,,,,,,,,,clay,,-3.4723900168,53.9459097863,02/07/2010
12,B12,12.0,23.47,,,,,,,,,,,,,,,,,clay,,-3.4723900168,53.9459097863,02/07/2010
13,B12,13.0,23.13,,,,,,,,,,,,,,,,0.002,clay,,-3.4723900168,53.9459097863,02/07/2010
14,B12,14.0,23.4,,,,,,,,,,,,,,,,,sand,from 14.00 m to 14.35 m - Closely spaced laminae of black carbonaceous debris.,-3.4723900168,53.9459097863,02/07/2010
15,B12,15.0,22.43,,,,,,,,,,,,,,,,,sand,,-3.4723900168,53.9459097863,02/07/2010
16,B12,16.0,25.81,,,,,,,,,,,,,,,,,sand,below 16.00 m - Organic debris absent.,-3.4723900168,53.9459097863,02/07/2010
17,B12,17.0,21.74,1987.77,1610.6,,,,,,,,,0.1899999999999999,,,,,0.002,"clay, gravel, sand",below 17.80 m - Becoming slightly clayey to clayey.,-3.4723900168,53.9459097863,02/07/2010
18,B12,18.0,20.02,,,,54.0,,,,2.73,39.0,22.0,,,,,,0.002,"clay, gravel, sand",Firm to stiff indistinctly fissured greyish brown slightly sandy CLAY,-3.4723900168,53.9459097863,02/07/2010
19,B12,19.0,21.41,2018.35,1630.99,,56.0,62.0,UU,Remoulded,,,,0.1899999999999999,,,,,,"gravel, mud",Firm medium strength becoming stiff and very stiff and medium.  Gravel is angular fine of mudstone.   (CARDIGAN BAY - UPPER TILL) [UNIT III],-3.4723900168,53.9459097863,02/07/2010
20,B12,20.0,13.0,2038.74,1804.28,,100.0,242.0,UU,Undisturbed,,,,0.12,,,,,0.002,"clay, gravel, mud, sand",below 20.00 m - sandy.  Sand is fine to coarse.  Gravel is very angular to rounded fine to coarse of mudstone and claystone.,-3.4723900168,53.9459097863,02/07/2010
21,B12,21.0,13.67,2120.29,1855.25,,112.0,152.0,UU,Remoulded,2.73,27.0,13.5,0.13,,,,,0.002,"clay, gravel, mud, sand",,-3.4723900168,53.9459097863,02/07/2010
22,B12,22.0,13.02,,,,,,,,,,,,,,,,,"clay, gravel, mud, sand",at 22.00 m - 1 No. subrounded cobble (50mm x 80mm) of dark grey microgabbro.,-3.4723900168,53.9459097863,02/07/2010
23,B12,22.65,12.45,,,,,,,,,27.0,13.0,,,,,,0.002,"clay, gravel, mud, sand",,-3.4723900168,53.9459097863,02/07/2010
24,B12,23.0,15.96,,,,,,,,,,,,,,,,,"gravel, mud, sand",from 23.15 m to 23.50 m - boulder of very strong dark grey microgabbro (full diameter x 350mm).,-3.4723900168,53.9459097863,02/07/2010
25,B12,23.55,19.48,,,,,,,,,29.0,5.0,,,,,,0.002,"gravel, mud, sand",,-3.4723900168,53.9459097863,02/07/2010
26,B12,24.0,22.11,,,,,,,,,,,,,,,,,"clay, mud, sand",from 24.80 m to 25.00 m - Recovered as angular fragments (<110mm) of very weak grey mudstone with a little (<10mm) firm brown silt.,-3.4723900168,53.9459097863,02/07/2010
27,B12,24.55,24.74,,,,,,,,,33.0,8.0,,,,,,0.002,"clay, mud, sand",,-3.4723900168,53.9459097863,02/07/2010
28,B12,25.0,22.24,,,,,,,,,,,,,,,,,"clay, gravel, mud, sand",Stiff brown and grey CLAY with frequent sand and gravel sized lithorelicts of mudstone.  Recovered non intact. (MERCIA MUDSTONE - WEATHERED MERCIA MUDSTONE) [UNIT VIa],-3.4723900168,53.9459097863,02/07/2010
29,B12,25.55,19.75,,,,,,,,,,,,,,,,,"clay, gravel, mud, sand",,-3.4723900168,53.9459097863,02/07/2010
30,B12,26.0,18.32,,,,,,,,,,,,,,,,,"clay, gravel, mud, sand",between 26.55 m and 27.60 m - fractures are very closely spaced subhorizontal and subvertical undulating rough and tight locally infilled with soft brown clay.,-3.4723900168,53.9459097863,02/07/2010
31,B12,26.55,16.88,,,,,,,,,,,,,,95.0,,,"clay, gravel, mud, sand",,-3.4723900168,53.9459097863,02/07/2010
32,B12,27.0,15.45,,,,,,,,,,,,,,,,,"clay, gravel, mud, sand",below 27.55 m - fractures are closely spaced.,-3.4723900168,53.9459097863,02/07/2010
33,B12,27.55,14.02,,,,,,,,,,,,,18.2,96.7,,,"clay, gravel, mud, sand",,-3.4723900168,53.9459097863,02/07/2010
34,B12,28.0,14.23,,,,,,,,,,,,,,,,,mud,at 28.80 m - vugh (50mm x 60mm x 20mm) infilled with (possible) calcite.,-3.4723900168,53.9459097863,02/07/2010
35,B12,29.0,14.45,,,,,,,,,,,,,,,,,mud,at 29.95 m - Subhorizontal fracture open undulating rough.,-3.4723900168,53.9459097863,02/07/2010
36,B12,29.05,14.66,,,,,,,,,,,,,,100.0,,,mud,,-3.4723900168,53.9459097863,02/07/2010
37,B12,30.0,12.94,,,,,,,,,,,,,,,,,mud,Medium strong locally strong slightly weathered indistinctly bedded reddish grey calcareous MUDSTONE/SILTSTONE.  Fractures are medium spaced subhorizontal undulating and slightly rough open with a slight grey green discolouration on surfaces.  (MERCIA MUDSTONE) [UNIT VIb],-3.4723900168,53.9459097863,02/07/2010
38,B12,30.05,11.23,,,,,,,,,,,,,38.7,100.0,,,mud,,-3.4723900168,53.9459097863,02/07/2010
39,B12,31.55,12.84,,,,,,,,,,,,,54.0,86.7,,,mud,,-3.4723900168,53.9459097863,02/07/2010
40,B12,32.0,11.06,,,,,,,,,,,,,,,,,mud,from 32.35 m to 32.40 m - thick laminae to very thin beds of light grey green siltstone.,-3.4723900168,53.9459097863,02/07/2010
41,B12,33.0,9.27,,,,,,,,,,,,,,,,,mud,Medium strong fresh dark greyish red calcareous MUDSTONE wih occasional randomly orientated gypsum veins.  Fractures are closely to medium spaced artly open.   (MERCIA MUDSTONE) [UNIT VIb],-3.4723900168,53.9459097863,02/07/2010
42,B12,33.05,7.48,,,,,,,,,,,,,31.1,83.3,,,mud,,-3.4723900168,53.9459097863,02/07/2010
43,B12,34.55,16.63,,,,,,,,,,,,,,100.0,,,mud,,-3.4723900168,53.9459097863,02/07/2010
44,B12,36.05,8.44,,,,,,,,,,,,,43.6,100.0,,,mud,,-3.4723900168,53.9459097863,02/07/2010
45,B12,37.0,8.8,,,,,,,,,,,,,,,,,"clay, mud",Weak locally medium strong partially weathered dark greyish purple with occasional light grey green mottling calcareous MUDSTONE.  Fractures are inclined <5 degrees generally partially coated with clay.    (MERCIA MUDSTONE) [UNIT VIb],-3.4723900168,53.9459097863,02/07/2010
46,B12,37.55,9.15,,,,,,,,,,,,,12.8,100.0,,,"clay, mud",,-3.4723900168,53.9459097863,02/07/2010
47,B12,39.0,8.28,,,,,,,,,,,,,,,,,"clay, mud",from 39.65 m to 39.85 m - Occasional vughs (<25mm) with a slight infill with possible calcite.,-3.4723900168,53.9459097863,02/07/2010
48,B12,39.05,7.4,,,,,,,,,,,,,12.4,100.0,,,"clay, mud",,-3.4723900168,53.9459097863,02/07/2010
49,C08,0.0,19.0,,,,,,CD,Reconstituted,2.68,28.0,9.0,,,,,31.0,0.002,"clay, sand",from 0.00 m to 3.00 m - moderate to slight organic odour.,-3.4872829964,53.9710725589,28/06/2010
50,C08,1.0,23.1,,,,,,,,,,,,,,,,,"clay, sand",,-3.4872829964,53.9710725589,28/06/2010
51,C08,2.0,27.19,1941.9,1498.47,,,,,,,27.0,9.0,0.2299999999999999,,,,,0.002,"clay, sand",,-3.4872829964,53.9710725589,28/06/2010
52,C08,3.0,27.78,1957.19,1529.05,,,,CD,Reconstituted,2.68,,,0.2199999999999999,,,,29.5,0.002,"clay, sand",from 3.00 m to 4.20 m - abundant shells and shell fragments.,-3.4872829964,53.9710725589,28/06/2010
53,C08,4.0,23.07,,,,,,,,,,,,,,,,,sand,Dark greyish brown locally dark grey and greyish brown silty SANDS - UPPER MEMBER) [UNIT IIa],-3.4872829964,53.9710725589,28/06/2010
54,C08,5.0,23.15,,,,,,,,,,,,,,,,,sand,,-3.4872829964,53.9710725589,28/06/2010
55,C08,6.0,17.92,,,,,,,,,,,,,,,,,sand,,-3.4872829964,53.9710725589,28/06/2010
56,C08,7.0,21.58,,,,,,CD,Reconstituted,,,,,,,,41.0,0.002,sand,,-3.4872829964,53.9710725589,28/06/2010
57,C08,8.0,22.95,,,,,,,,,,,,,,,,,sand,,-3.4872829964,53.9710725589,28/06/2010
58,C08,9.0,24.86,,,,,,,,,,,,,,,,,sand,,-3.4872829964,53.9710725589,28/06/2010
59,C08,10.0,29.53,,,,,,,,,,,,,,,,,sand,from 10.00 m to 12.40 m - occasional medium and coarse sand sized carbonaceous debris.,-3.4872829964,53.9710725589,28/06/2010
60,C08,11.0,22.63,,,,,,,,,,,,,,,,,clay,at 11.25 m - 1 No. thin lamina of very soft very dark grey silty clay.,-3.4872829964,53.9710725589,28/06/2010
61,C08,12.0,26.31,,,,,,CD,Reconstituted,2.67,,,,,,,34.5,0.002,clay,from 12.50 m to 12.80 m - extremely closely spaced thin laminae of very dark grey organic silt with fragments (<5mm) of black organic debris.  Strong organic/bituminous odour.,-3.4872829964,53.9710725589,28/06/2010
62,C08,13.0,23.72,,,,,,,,,,,,,,14.7,,,"gravel, sand",Medium strong and strong slightly weathered very dark grey becoming dark grey with depth crystalline (<2mm) MICROGABBRO aced,-3.4872829964,53.9710725589,28/06/2010
